-3.000,-42708.683,-42708.077,-42707.527,0.000,0.870,0.040,0.880
-2.800,-42708.785,-42708.185,-42707.681,0.040,0.800,0.000,0.810
-2.600,-42708.883,-42708.290,-42707.827,0.000,0.900,0.090,0.930
-2.400,-42708.968,-42708.385,-42707.966,0.090,0.760,0.000,0.780
-2.200,-42709.047,-42708.473,-42708.100,0.000,0.920,0.130,0.980
-2.000,-42709.120,-42708.558,-42708.225,0.130,0.720,0.000,0.760
-1.800,-42709.185,-42708.634,-42708.343,0.000,0.950,0.180,1.020
-1.600,-42709.240,-42708.689,-42708.466,0.170,0.680,0.000,0.730
-1.400,-42709.291,-42708.756,-42708.564,0.000,0.840,0.000,0.840
-1.200,-42709.335,-42708.816,-42708.655,0.000,1.000,0.260,1.120
-1.000,-42709.370,-42708.869,-42708.737,0.250,0.610,0.000,0.670
-0.800,-42709.398,-42708.914,-42708.811,0.000,1.020,0.310,1.170
-0.600,-42709.418,-42708.953,-42708.877,0.290,0.570,0.000,0.640
-0.400,-42709.431,-42708.984,-42708.934,0.000,1.040,0.350,1.230
-0.200,-42709.438,-42709.008,-42708.984,0.330,0.540,0.000,0.610
0.000,-42709.436,-42709.025,-42709.025,0.000,1.030,0.480,1.260
0.200,-42709.427,-42709.058,-42709.034,0.370,0.510,0.000,0.580
0.400,-42709.410,-42709.082,-42709.035,0.000,0.970,0.220,1.070
0.600,-42709.387,-42709.097,-42709.029,0.210,0.640,0.000,0.700
0.800,-42709.357,-42709.105,-42709.016,0.000,1.040,0.580,1.360
1.000,-42709.319,-42709.104,-42708.996,0.440,0.440,0.000,0.520
1.200,-42709.276,-42709.095,-42708.970,0.000,1.030,0.620,1.400
1.400,-42709.225,-42709.077,-42708.935,0.470,0.410,0.000,0.500
1.600,-42709.167,-42709.049,-42708.894,0.000,1.030,0.670,1.450
1.800,-42709.103,-42709.014,-42708.844,0.500,0.380,0.000,0.470
2.000,-42709.032,-42708.971,-42708.788,0.000,1.040,0.700,1.500
2.200,-42708.955,-42708.921,-42708.725,0.530,0.350,0.000,0.440
2.400,-42708.871,-42708.861,-42708.654,0.000,1.030,0.530,1.310
2.600,-42708.780,-42708.794,-42708.575,0.400,0.470,0.000,0.550
2.800,-42708.684,-42708.719,-42708.491,0.000,1.040,0.730,1.550
3.000,-42708.583,-42708.638,-42708.400,0.560,0.320,0.000,0.420
